tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2023-894,Bogota,Clay,32,I,20230403,277,206007,6,,Laura Pigossi,R,164,BRA,28.6,221501,,WC,Antonia Samudio,R,,COL,22.0,6-1 6-0,3,R32,63,1,2,41,27,17,8,6,3,4,0,8,40,21,7,4,7,0,7,101,662,1077,11
2023-894,Bogota,Clay,32,I,20230403,276,210337,,Q,Natalija Stevanovic,R,,SRB,28.6,215453,,,Marina Bassols Ribera,R,165,ESP,23.3,7-6(1) 7-5,3,R32,132,3,13,89,51,33,18,12,5,9,1,7,82,51,31,10,12,1,6,224,294,122,543
2023-894,Bogota,Clay,32,I,20230403,275,203475,,,Carol Zhao,R,165,CAN,27.7,214604,,,Maria Lourdes Carle,R,,ARG,23.1,4-6 7-5 7-6(6),3,R32,206,0,23,122,78,51,12,17,5,13,0,13,115,71,43,14,17,6,14,174,377,154,429
2023-894,Bogota,Clay,32,I,20230403,274,215936,,,Francesca Jones,R,,GBR,22.5,203463,3,,Nuria Parrizas Diaz,R,167,ESP,31.7,7-6(3) 6-1,3,R32,107,6,14,75,38,26,15,10,7,11,1,4,58,35,15,10,9,4,10,817,26,80,755
2023-894,Bogota,Clay,32,I,20230403,273,221257,,Q,Sinja Kraus,R,,AUT,20.9,206408,8,,Nadia Podoroska,R,170,ARG,26.1,6-4 7-6(4),3,R32,112,4,3,83,47,27,17,11,5,9,2,8,72,37,23,12,11,6,11,168,391,103,621
2023-894,Bogota,Clay,32,I,20230403,272,215572,,Q,Nuria Brancaccio,R,,ITA,22.7,202604,,,Despina Papamichail,R,178,GRE,30.1,6-2 6-2,3,R32,84,0,7,64,42,29,8,8,8,10,0,0,54,37,15,7,8,4,10,206,321,152,439
2023-894,Bogota,Clay,32,I,20230403,271,206430,,Q,Carolina Alves,U,,BRA,26.9,215035,,,Dayana Yastremska,R,175,UKR,22.8,4-6 7-6(5) 6-2,3,R32,155,2,10,120,69,48,23,15,15,19,7,13,119,65,43,24,15,10,15,239,275,134,505
2023-894,Bogota,Clay,32,I,20230403,270,213583,2,,Tatjana Maria,R,172,GER,35.6,221512,,,Katrina Scott,R,180,USA,18.8,6-1 6-4,3,R32,82,2,2,56,28,21,18,9,3,4,2,3,53,22,13,12,8,5,9,66,851,161,416
2023-804,Charleston,Clay,64,P,20230403,300,202460,2,,Ons Jabeur,R,167,TUN,28.5,202505,4,,Belinda Bencic,R,175,SUI,26.0,7-6(6) 6-4,3,F,119,9,4,78,46,32,15,11,5,8,1,4,77,43,29,15,11,5,9,5,4866,11,3035
2023-804,Charleston,Clay,64,P,20230403,299,202505,4,,Belinda Bencic,R,175,SUI,26.0,202468,1,,Jessica Pegula,R,170,USA,29.1,7-5 7-6(5),3,SF,120,3,3,93,55,36,18,12,9,12,3,2,68,39,26,13,12,2,6,11,3035,3,5605
2023-804,Charleston,Clay,64,P,20230403,298,202460,2,,Ons Jabeur,R,167,TUN,28.5,214082,3,,Daria Kasatkina,R,170,RUS,25.9,7-5 7-5,3,SF,107,5,4,87,51,33,15,12,9,14,0,3,84,66,31,7,12,6,13,5,4866,8,3375
