tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,match_winner
2024-1024,Seoul,Hard,32,P,20240916,279,201586,,Q,Heather Watson,R,170.0,GBR,32.3,203288,,Q,Jia Jing Lu,R,173.0,CHN,34.8,6-4 6-4,3,R32,96.0,5.0,2.0,55.0,26.0,23.0,15.0,10.0,1.0,2.0,2.0,6.0,74.0,30.0,19.0,24.0,10.0,8.0,11.0,183.0,390.0,274.0,247.0,0
2023-609,Indian Wells,Hard,96,PM,20230306,269,216347,1,,Iga Swiatek,R,176.0,POL,21.7,214906,,,Claire Liu,R,170.0,USA,22.7,6-0 6-1,3,R64,65.0,1.0,3.0,41.0,30.0,24.0,6.0,7.0,0.0,0.0,1.0,2.0,42.0,24.0,9.0,6.0,6.0,4.0,9.0,1.0,10585.0,56.0,972.0,0
2023-2036,Budapest,Clay,32,I,20230717,276,211337,,,Tamara Korpatsch,R,170.0,GER,28.1,204394,,LL,Valentini Grammatikopoulou,U,,GRE,26.4,6-4 6-4,3,R32,101.0,4.0,8.0,79.0,38.0,21.0,19.0,10.0,8.0,13.0,0.0,2.0,65.0,36.0,15.0,12.0,10.0,7.0,14.0,99.0,690.0,170.0,406.0,0
2024-1020,Beijing,Hard,128,PM,20240925,287,211651,15,,Paula Badosa,R,180.0,ESP,26.8,202468,2,,Jessica Pegula,R,170.0,USA,30.5,6-4 6-0,3,R16,64.0,0.0,5.0,50.0,19.0,18.0,15.0,8.0,1.0,2.0,4.0,0.0,41.0,25.0,11.0,6.0,8.0,0.0,5.0,19.0,2325.0,3.0,6220.0,0
2022-2074,San Diego,Hard,32,P,20221010,289,202499,,Q,Donna Vekic,R,179.0,CRO,26.2,201662,,,Karolina Pliskova,R,184.0,CZE,30.5,6-3 6-2,3,R16,74.0,6.0,6.0,58.0,30.0,21.0,12.0,8.0,4.0,6.0,2.0,5.0,50.0,33.0,16.0,7.0,9.0,3.0,9.0,77.0,774.0,22.0,2061.0,0
2023-528,Linz,Hard,32,I,20230206,278,201549,6,,Petra Martic,R,181.0,CRO,32.0,215453,,Q,Marina Bassols Ribera,R,165.0,ESP,23.1,6-1 7-5,3,R32,81.0,11.0,3.0,54.0,25.0,21.0,18.0,10.0,2.0,3.0,0.0,2.0,53.0,33.0,17.0,10.0,9.0,1.0,5.0,34.0,1325.0,128.0,536.0,0
2024-2074,San Diego,Hard,32,P,20240226,286,211107,,,Katie Boulter,R,180.0,GBR,27.5,206242,2,,Beatriz Haddad Maia,L,185.0,BRA,27.7,3-6 6-3 6-4,3,R16,141.0,4.0,9.0,81.0,43.0,31.0,22.0,14.0,3.0,5.0,4.0,3.0,80.0,41.0,32.0,20.0,14.0,3.0,6.0,49.0,1218.0,13.0,2870.0,0
2022-1038,Madrid,Clay,64,P,20220428,258,204427,,,Sara Sorribes Tormo,R,176.0,ESP,25.5,201499,13,,Anastasia Pavlyuchenkova,R,177.0,RUS,30.8,6-3 2-6 6-3,3,R64,141.0,0.0,5.0,96.0,79.0,41.0,8.0,13.0,8.0,14.0,1.0,5.0,73.0,57.0,27.0,7.0,13.0,4.0,11.0,47.0,1140.0,15.0,2472.0,0
2024-520,Roland Garros,Clay,128,G,20240527,186,202536,,,Ana Bogdan,R,171.0,ROU,31.5,201499,20,,Anastasia Pavlyuchenkova,R,177.0,RUS,32.9,6-4 6-4,3,R64,,1.0,2.0,65.0,51.0,26.0,13.0,10.0,1.0,3.0,2.0,3.0,61.0,38.0,21.0,11.0,10.0,3.0,7.0,64.0,1029.0,22.0,2116.0,0
2024-1052,Birmingham,Grass,32,I,20240617,277,220367,6,,Leylah Fernandez,L,168.0,CAN,21.7,204427,,,Sara Sorribes Tormo,R,176.0,ESP,27.6,6-1 6-1,3,R32,63.0,2.0,1.0,39.0,29.0,20.0,6.0,7.0,3.0,4.0,1.0,2.0,39.0,28.0,7.0,5.0,7.0,1.0,7.0,33.0,1625.0,57.0,1055.0,0
2022-2042,Hamburg,Clay,32,I,20220718,277,202628,7,,Maryna Zanevska,R,175.0,BEL,28.8,202600,,,Viktoriya Tomova,R,170.0,BUL,27.3,4-6 6-4 6-3,3,R32,150.0,3.0,3.0,117.0,64.0,38.0,26.0,15.0,8.0,13.0,0.0,0.0,92.0,68.0,37.0,9.0,14.0,3.0,9.0,72.0,820.0,113.0,590.0,0
2024-1038,Madrid,Clay,128,PM,20240422,192,210886,,,Mayar Sherif,R,180.0,EGY,27.9,201616,,,Lauren Davis,R,157.0,USA,30.5,4-6 7-6(4) 6-4,3,R128,195.0,1.0,1.0,111.0,85.0,49.0,12.0,16.0,8.0,14.0,0.0,1.0,120.0,90.0,46.0,19.0,16.0,10.0,16.0,72.0,924.0,166.0,448.0,0
2023-2088,Abu Dhabi,Hard,32,P,20230206,284,213525,,,Jil Teichmann,L,170.0,SUI,25.5,215035,,Q,Dayana Yastremska,R,175.0,UKR,22.7,6-3 7-6(5),3,R32,101.0,1.0,3.0,70.0,42.0,30.0,15.0,11.0,0.0,2.0,2.0,2.0,67.0,41.0,26.0,12.0,10.0,2.0,5.0,28.0,1429.0,102.0,640.0,0
2023-560,Us Open,Hard,128,G,20230828,161,216262,,,Clara Burel,R,176.0,FRA,22.4,214452,,,Caroline Dolehide,R,178.0,USA,24.9,6-4 6-3,3,R128,84.0,1.0,4.0,68.0,38.0,21.0,13.0,10.0,4.0,9.0,1.0,4.0,61.0,39.0,15.0,10.0,9.0,8.0,15.0,62.0,935.0,106.0,651.0,0
